10/4/2023, 11:17:46 AM 
Role,Company,LinkedIn 
Junior Media Designer, Ghostly International, https://www.linkedin.com/jobs/view/junior-media-designer-at-ghostly-international-3733153719?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=V1ipnrRrdKdHMiQU1dStFA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer, Ideas On Purpose, https://www.linkedin.com/jobs/view/senior-designer-at-ideas-on-purpose-3541598655?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=oSyBnL%2FCCiUyIFOSmb8K6A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Motion Designer, Craft, https://www.linkedin.com/jobs/view/motion-designer-at-craft-3732285838?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=XomxAAnrVLblekG%2FDR4ezw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director, Meet, https://www.linkedin.com/jobs/view/art-director-at-meet-3732283893?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=pz%2BQrPU%2Bi4jamsZ4tVGWcQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer - Home Textiles, Silk Home, undefined 
Senior Communications Designer (Media Planning), Initiative, https://www.linkedin.com/jobs/view/senior-communications-designer-media-planning-at-initiative-3733150790?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=i8FnPSWR2EG7AbzVSLsDvQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, TEKGENCE INC, https://www.linkedin.com/jobs/view/data-modeler-at-tekgence-inc-3728449536?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=qfEADGNkFJ7ub5Qd6rmCtA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, Annalect, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-annalect-3728383688?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=jtH2qXEnbbmulk%2FmdG20kw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler/Architect, SAGE IT, https://www.linkedin.com/jobs/view/data-modeler-architect-at-sage-it-3732285444?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=oSqZNqYq%2BX0%2FdUs3Nu2TpA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Magento Developer, VERRAGIO, https://www.linkedin.com/jobs/view/magento-developer-at-verragio-3733139435?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=4toPpC%2F5EBs1VdQTstOjag%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler Architect, MSRcosmos LLC, https://www.linkedin.com/jobs/view/data-modeler-architect-at-msrcosmos-llc-3728455771?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=folLIdG409YaWR%2Fpra6oeg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr. Systems Engineer, Tory Burch, https://www.linkedin.com/jobs/view/sr-systems-engineer-at-tory-burch-3731849810?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=dGVk%2FBFSgOEPHInjN%2F6SmQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card 
Field Engineer, DGI Communications, https://www.linkedin.com/jobs/view/field-engineer-at-dgi-communications-3733135471?refId=2CAr%2BVdi8TV2k7Q%2FJaXOtg%3D%3D&trackingId=QRxgNhjlnouMu2odE1TbyQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
