10/4/2023, 8:34:20 PM 
Role,Company,LinkedIn 
Visual Designer / Graphic Designer, StubHub, https://www.linkedin.com/jobs/view/visual-designer-graphic-designer-at-stubhub-3729000933?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=fwGO%2BR1OIEd1ruIboFJmcQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Content Designer, Meta, https://www.linkedin.com/jobs/view/content-designer-at-meta-3725829115?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=A20Xs41WqZmhO4gHxwqz4w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Reality Labs, Meta, https://www.linkedin.com/jobs/view/product-designer-reality-labs-at-meta-3725768955?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=LEMGnvznuzqW8LtngJuAiA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director, The Trade Desk, https://www.linkedin.com/jobs/view/art-director-at-the-trade-desk-3733592169?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=xs0oTLMZDovSkOxFMrgHdg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer Packaging - BALMAIN BEAUTY, The Estée Lauder Companies Inc., https://www.linkedin.com/jobs/view/senior-designer-packaging-balmain-beauty-at-the-est%C3%A9e-lauder-companies-inc-3733589448?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=zhRmZi7ct%2Bmbsv%2BixTunEQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Motion Designer Google Assistant, Google, https://www.linkedin.com/jobs/view/senior-motion-designer-google-assistant-at-google-3732688661?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=4tR71wFa1texzYnsURXnhA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer III, Apex Systems, https://www.linkedin.com/jobs/view/graphic-designer-iii-at-apex-systems-3733165003?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=OaHqKDDdFjPV2nROX2trdA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Staff Product Designer New Modes, DoorDash, https://www.linkedin.com/jobs/view/staff-product-designer-new-modes-at-doordash-3733589771?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=jSc3CZDx8UbTjCuVYSE6Bg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Lead Product Designer Core Experience, Hinge, https://www.linkedin.com/jobs/view/lead-product-designer-core-experience-at-hinge-3733579154?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=4pj61O%2BwsArmeADkSxW%2FJA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Commerical HVAC Service Technician, D.P. Wolff Inc., https://www.linkedin.com/jobs/view/commerical-hvac-service-technician-at-d-p-wolff-inc-3733595195?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=dOyRPmeyi84nyJHssT1f6w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr. Director Global Outlet Planning & International, Tory Burch, https://www.linkedin.com/jobs/view/sr-director-global-outlet-planning-international-at-tory-burch-3733587730?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=z2oSdcs4ZlFloYQUd821dg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Accountant Global Lease Accounting, Tory Burch, https://www.linkedin.com/jobs/view/senior-accountant-global-lease-accounting-at-tory-burch-3733586824?refId=CvTePMsi%2FlkF0wAJOqcwLw%3D%3D&trackingId=JYqtSHMjuM4r%2FIZIeW1Ehw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
